cost	deps	time	x	x0	x1	x6
7.133916606422667	0.00011122125219742429	Mon Jun  3 19:34:01 2019	[15.43962037 15.43969683]	[20.0, 10.0]	62.01	-0.14999999999999997
4.731288477604271	0.00022385678511227525	Mon Jun  3 19:35:10 2019	[13.99046078 13.99059101]	[10.0, 19.0]	62.01	-0.09999999999999998
4.766042762627759	0.0009052796769566385	Mon Jun  3 19:36:21 2019	[15.42920934 15.42934856]	[20.0, 10.0]	62.01	-0.09999999999999998
2.3713264706545756	0.0001309835322018671	Mon Jun  3 19:37:30 2019	[14.97697591 14.97690366]	[10.0, 19.0]	62.01	-0.04999999999999999
2.3769964057671653	0.00034789122150868934	Mon Jun  3 19:38:37 2019	[15.43691952 15.43672155]	[20.0, 10.0]	62.01	-0.04999999999999999
0.007543314514297119	0.00016350448670721107	Mon Jun  3 19:39:39 2019	[14.99963669 14.99968736]	[10.0, 19.0]	62.01	0.0
0.0021968098856223876	6.861008998271245e-05	Mon Jun  3 19:40:40 2019	[15.82326659 15.82340642]	[20.0, 10.0]	62.01	0.0
2.366699682459218	-0.0001327713354299931	Mon Jun  3 19:41:50 2019	[14.00307124 14.00292092]	[10.0, 19.0]	62.01	0.050000000000000044
2.3766349710236874	-0.00031950586158302485	Mon Jun  3 19:42:52 2019	[15.40976959 15.40994271]	[20.0, 10.0]	62.01	0.050000000000000044
4.729993327133363	-0.00019911847458331522	Mon Jun  3 19:44:07 2019	[14.00605865 14.00593118]	[10.0, 19.0]	62.01	0.10000000000000009
4.751620941482726	-0.00025202655315581524	Mon Jun  3 19:45:17 2019	[15.42938484 15.42953404]	[20.0, 10.0]	62.01	0.10000000000000009
7.103406358689262	-0.00012894890508619028	Mon Jun  3 19:46:28 2019	[13.99597433 13.99590036]	[10.0, 19.0]	62.01	0.15000000000000002
7.135163277220379	-0.0003117966746941647	Mon Jun  3 19:47:32 2019	[15.4360027  15.43583788]	[20.0, 10.0]	62.01	0.15000000000000002
9.487908378211733	-0.00020443301630734823	Mon Jun  3 19:48:40 2019	[13.98836966 13.98825545]	[10.0, 19.0]	62.01	0.20000000000000007
9.531447665060753	-7.697377316162601e-05	Mon Jun  3 19:49:48 2019	[15.46124965 15.46120304]	[20.0, 10.0]	62.01	0.20000000000000007
11.895513467826126	-5.192710241885834e-05	Mon Jun  3 19:50:54 2019	[13.97875445 13.97873044]	[10.0, 19.0]	62.01	0.25
11.942092454076226	-9.774101376081035e-05	Mon Jun  3 19:52:01 2019	[15.43568734 15.4357426 ]	[20.0, 10.0]	62.01	0.25
15.960886851960584	-1.2756613777992811	Mon Jun  3 19:52:57 2019	[15.79705232 15.79575958]	[10.0, 19.0]	62.01	0.30000000000000004
15.878690981606164	-1.2348967945196847	Mon Jun  3 19:53:54 2019	[15.20877986 15.2072338 ]	[20.0, 10.0]	62.01	0.30000000000000004
25.953407785777433	-7.511346565204349	Mon Jun  3 19:54:37 2019	[14.38033087 14.40102442]	[10.0, 19.0]	62.01	0.3500000000000001
26.15148501411857	-7.6594855931927555	Mon Jun  3 19:55:18 2019	[15.74232405 15.73250417]	[20.0, 10.0]	62.01	0.3500000000000001
48.80428100559233	-14.727323486502868	Mon Jun  3 19:55:55 2019	[15.64011048 15.86396916]	[10.0, 19.0]	62.01	0.4
48.46589407364221	-14.856921685784343	Mon Jun  3 19:56:35 2019	[15.1965645  15.20691433]	[20.0, 10.0]	62.01	0.4
112.06331435719862	-17.896052392683657	Mon Jun  3 19:57:06 2019	[12.68598919 17.68399008]	[10.0, 19.0]	62.01	0.45000000000000007
108.69810368044085	-17.719054882354285	Mon Jun  3 19:57:52 2019	[13.52066203 18.70737519]	[20.0, 10.0]	62.01	0.45000000000000007
194.0990855823433	-18.383359085401267	Mon Jun  3 19:58:31 2019	[ 9.52341383 21.66583441]	[10.0, 19.0]	62.01	0.5
194.4068173428125	-18.356233506992012	Mon Jun  3 19:59:20 2019	[ 9.22422755 21.36975628]	[20.0, 10.0]	62.01	0.5
251.56680849654106	18.870456832369214	Mon Jun  3 19:59:58 2019	[ 6.50624001 23.00876235]	[10.0, 19.0]	64.00999999999999	-0.5
756.2698582917908	35.746730037166586	Mon Jun  3 20:00:19 2019	[20.06973017 10.00583576]	[20.0, 10.0]	64.00999999999999	-0.5
166.2494160966344	17.96571286382651	Mon Jun  3 20:00:50 2019	[10.33115629 20.17364077]	[10.0, 19.0]	64.00999999999999	-0.45
165.54196012416742	18.038498011016756	Mon Jun  3 20:01:47 2019	[10.5714169  20.35043185]	[20.0, 10.0]	64.00999999999999	-0.45
66.89211225131065	17.492593013554483	Mon Jun  3 20:02:22 2019	[14.33693943 15.8872424 ]	[10.0, 19.0]	64.00999999999999	-0.4
67.64583547062077	17.764072966903043	Mon Jun  3 20:02:57 2019	[15.15939006 16.41373229]	[20.0, 10.0]	64.00999999999999	-0.4
37.00095507363385	10.84143867510187	Mon Jun  3 20:03:40 2019	[14.64591776 14.8657385 ]	[10.0, 19.0]	64.00999999999999	-0.35
35.21061227595205	11.136850832550238	Mon Jun  3 20:04:17 2019	[15.90019491 15.7765243 ]	[20.0, 10.0]	64.00999999999999	-0.35
19.609006694978586	3.235966047983453	Mon Jun  3 20:05:05 2019	[15.28484327 15.29510155]	[10.0, 19.0]	64.00999999999999	-0.3
